student_id,well_versed_with_the_subject,explains_concepts_in_an_understandable_way,use_of_presentations,degree_of_difficulty_of_assignments,solves_doubts_willingly,structuring_of_the_course,provides_support_for_students_going_above_and_beyond,course_recommendation_based_on_relevance,overall_satisfaction,comments
825,9,7,8,1,3,2,9,3,5.25,SYNTHETIC: teaching is clear and concise; workload is reasonable; need more support for doubts; course needs better structure; slides are helpful
620,9,5,8,2,8,10,8,8,7.25,SYNTHETIC: tasks are fair; doubt solving is helpful; slides are helpful
175,10,9,8,2,1,6,7,2,5.625,SYNTHETIC: teaching is clear and concise; tasks are fair; slow response to queries; presentations add value
358,5,7,4,3,3,10,3,4,4.875,SYNTHETIC: teaching is clear and concise; tasks are fair; slow response to queries; presentations are text-heavy
191,7,4,5,2,5,10,4,7,5.5,SYNTHETIC: concepts feel confusing; assignments are manageable
492,6,5,8,10,3,8,3,2,5.625,SYNTHETIC: workload feels heavy; hard to get help when needed; presentations add value
529,9,6,6,1,4,10,1,7,5.5,SYNTHETIC: tasks are fair; hard to get help when needed
389,5,5,8,6,2,3,5,7,5.125,SYNTHETIC: hard to get help when needed; course needs better structure; presentations add value
878,6,5,8,4,10,3,9,10,6.875,SYNTHETIC: mentor support is good; course needs better structure; slides are helpful
368,7,9,8,3,2,7,4,1,5.125,SYNTHETIC: explanations are easy to follow; assignments are manageable; slow response to queries; presentations add value
122,7,5,5,3,9,6,9,2,5.75,SYNTHETIC: assignments are manageable; doubt solving is helpful
332,9,2,7,2,8,7,4,10,6.125,SYNTHETIC: concepts feel confusing; assignments are manageable; doubt solving is helpful; slides are helpful
303,7,4,5,4,7,2,1,6,4.5,SYNTHETIC: concepts feel confusing; mentor support is good; unclear weekly plan
336,8,10,4,5,6,7,2,3,5.625,SYNTHETIC: explanations are easy to follow; slides could be improved
588,6,6,4,10,10,10,3,9,7.25,SYNTHETIC: tasks felt challenging; mentor support is good; slides could be improved
609,10,9,4,4,1,5,9,10,6.5,SYNTHETIC: explanations are easy to follow; need more support for doubts; presentations are text-heavy
920,10,6,7,10,10,2,4,2,6.375,SYNTHETIC: tasks felt challenging; got quick support; unclear weekly plan; presentations add value
370,9,4,7,10,1,10,2,7,6.25,SYNTHETIC: struggled to follow some topics; assignments are too hard; hard to get help when needed; slides are helpful
405,10,2,5,5,5,1,4,6,4.75,SYNTHETIC: concepts feel confusing; course needs better structure
779,10,8,6,3,8,8,7,8,7.25,SYNTHETIC: concepts are clear; workload is reasonable; doubt solving is helpful
962,10,6,4,5,1,7,1,10,5.5,SYNTHETIC: hard to get help when needed; slides could be improved
268,10,6,5,9,9,1,8,6,6.75,SYNTHETIC: tasks felt challenging; got quick support; unclear weekly plan
625,10,7,6,7,9,6,3,3,6.375,SYNTHETIC: teaching is clear and concise; tasks felt challenging; doubt solving is helpful
217,8,9,8,3,8,5,5,5,6.375,SYNTHETIC: concepts are clear; tasks are fair; doubt solving is helpful; presentations add value
479,10,10,4,6,5,9,2,3,6.125,SYNTHETIC: explanations are easy to follow; presentations are text-heavy
500,9,5,8,4,2,2,5,1,4.5,SYNTHETIC: need more support for doubts; unclear weekly plan; slides are helpful
409,8,9,7,3,10,4,6,1,6.0,SYNTHETIC: teaching is clear and concise; tasks are fair; got quick support; course needs better structure; slides are helpful
546,7,7,5,1,9,8,1,1,4.875,SYNTHETIC: explanations are easy to follow; tasks are fair; got quick support
967,5,5,8,8,1,9,8,5,6.125,SYNTHETIC: tasks felt challenging; need more support for doubts; slides are helpful
343,8,4,7,1,10,8,2,6,5.75,SYNTHETIC: need clearer explanations; assignments are manageable; got quick support; presentations add value
639,7,4,7,7,6,10,5,7,6.625,SYNTHETIC: struggled to follow some topics; workload feels heavy; slides are helpful
402,6,8,6,9,4,8,5,7,6.625,SYNTHETIC: concepts are clear; tasks felt challenging; need more support for doubts
617,5,7,5,4,7,1,10,6,5.625,SYNTHETIC: teaching is clear and concise; got quick support; course needs better structure
349,6,8,8,2,9,9,2,8,6.5,SYNTHETIC: teaching is clear and concise; assignments are manageable; got quick support; slides are helpful
994,8,5,5,2,5,5,9,5,5.5,SYNTHETIC: workload is reasonable
279,5,10,7,1,4,4,9,4,5.5,SYNTHETIC: teaching is clear and concise; tasks are fair; slow response to queries; course needs better structure; presentations add value
926,10,7,5,1,1,6,6,1,4.625,SYNTHETIC: teaching is clear and concise; assignments are manageable; slow response to queries
816,10,8,5,9,2,7,9,3,6.625,SYNTHETIC: teaching is clear and concise; tasks felt challenging; need more support for doubts
765,8,7,8,5,7,7,7,7,7.0,SYNTHETIC: explanations are easy to follow; mentor support is good; slides are helpful
160,10,6,5,4,2,10,4,7,6.0,SYNTHETIC: hard to get help when needed
606,8,3,8,1,6,4,8,9,5.875,SYNTHETIC: need clearer explanations; tasks are fair; course needs better structure; presentations add value
602,5,3,6,2,8,10,3,1,4.75,SYNTHETIC: struggled to follow some topics; tasks are fair; doubt solving is helpful
893,10,6,8,1,1,10,1,3,5.0,SYNTHETIC: assignments are manageable; slow response to queries; slides are helpful
810,9,6,7,3,5,9,10,5,6.75,SYNTHETIC: assignments are manageable; presentations add value
802,8,2,6,6,3,8,7,7,5.875,SYNTHETIC: concepts feel confusing; need more support for doubts
162,6,2,5,2,10,2,8,8,5.375,SYNTHETIC: need clearer explanations; workload is reasonable; got quick support; course needs better structure
449,5,7,8,9,3,2,7,10,6.375,SYNTHETIC: teaching is clear and concise; workload feels heavy; slow response to queries; unclear weekly plan; slides are helpful
463,7,8,7,8,1,4,4,1,5.0,SYNTHETIC: teaching is clear and concise; assignments are too hard; need more support for doubts; unclear weekly plan; presentations add value
41,5,3,5,9,3,1,8,8,5.25,SYNTHETIC: struggled to follow some topics; tasks felt challenging; hard to get help when needed; unclear weekly plan
838,6,3,6,8,7,1,8,8,5.875,SYNTHETIC: concepts feel confusing; workload feels heavy; doubt solving is helpful; course needs better structure
703,10,7,8,3,4,7,9,8,7.0,SYNTHETIC: explanations are easy to follow; assignments are manageable; need more support for doubts; presentations add value
490,9,2,6,10,9,8,2,4,6.25,SYNTHETIC: struggled to follow some topics; assignments are too hard; got quick support
906,7,7,8,4,5,2,4,5,5.25,SYNTHETIC: explanations are easy to follow; course needs better structure; slides are helpful
174,7,3,6,7,10,10,2,3,6.0,SYNTHETIC: struggled to follow some topics; assignments are too hard; doubt solving is helpful
4,5,8,5,7,10,7,3,1,5.75,SYNTHETIC: explanations are easy to follow; assignments are too hard; mentor support is good
161,6,7,8,3,5,10,6,4,6.125,SYNTHETIC: concepts are clear; workload is reasonable; presentations add value
31,5,4,5,9,9,2,4,1,4.875,SYNTHETIC: need clearer explanations; workload feels heavy; got quick support; unclear weekly plan
623,6,4,6,6,10,10,3,9,6.75,SYNTHETIC: concepts feel confusing; doubt solving is helpful
818,10,5,4,9,2,6,2,6,5.5,SYNTHETIC: assignments are too hard; need more support for doubts; presentations are text-heavy
60,5,6,5,3,1,7,5,3,4.375,SYNTHETIC: tasks are fair; need more support for doubts
384,6,2,7,9,4,4,2,8,5.25,SYNTHETIC: struggled to follow some topics; assignments are too hard; need more support for doubts; unclear weekly plan; presentations add value
971,7,6,7,4,6,6,7,9,6.5,SYNTHETIC: presentations add value
427,7,3,7,2,9,8,8,7,6.375,SYNTHETIC: struggled to follow some topics; workload is reasonable; doubt solving is helpful; slides are helpful
431,10,9,4,3,3,9,4,1,5.375,SYNTHETIC: concepts are clear; tasks are fair; slow response to queries; slides could be improved
408,6,5,4,7,1,8,6,7,5.5,SYNTHETIC: tasks felt challenging; slow response to queries; presentations are text-heavy
577,10,7,4,10,7,2,5,1,5.75,SYNTHETIC: teaching is clear and concise; workload feels heavy; doubt solving is helpful; unclear weekly plan; slides could be improved
803,6,10,8,5,6,5,6,7,6.625,SYNTHETIC: teaching is clear and concise; presentations add value
273,9,3,7,1,5,3,8,4,5.0,SYNTHETIC: struggled to follow some topics; assignments are manageable; course needs better structure; presentations add value
371,6,3,4,9,4,10,4,10,6.25,SYNTHETIC: concepts feel confusing; tasks felt challenging; need more support for doubts; presentations are text-heavy
999,6,7,8,8,9,9,9,5,7.625,SYNTHETIC: explanations are easy to follow; tasks felt challenging; got quick support; slides are helpful
595,10,5,5,4,10,4,4,4,5.75,SYNTHETIC: got quick support; course needs better structure
63,8,8,7,4,4,4,8,2,5.625,SYNTHETIC: concepts are clear; slow response to queries; course needs better structure; presentations add value
899,5,4,7,7,2,6,1,1,4.125,SYNTHETIC: need clearer explanations; assignments are too hard; need more support for doubts; presentations add value
0,7,4,8,2,1,4,8,3,4.625,SYNTHETIC: struggled to follow some topics; tasks are fair; need more support for doubts; course needs better structure; slides are helpful
796,7,9,6,2,7,7,6,8,6.5,SYNTHETIC: explanations are easy to follow; assignments are manageable; doubt solving is helpful
181,10,10,4,2,1,5,3,1,4.5,SYNTHETIC: teaching is clear and concise; workload is reasonable; hard to get help when needed; presentations are text-heavy
290,6,7,6,4,2,8,9,7,6.125,SYNTHETIC: explanations are easy to follow; slow response to queries
373,6,4,8,10,5,3,10,10,7.0,SYNTHETIC: concepts feel confusing; tasks felt challenging; unclear weekly plan; slides are helpful
285,6,10,5,7,3,3,5,1,5.0,SYNTHETIC: explanations are easy to follow; assignments are too hard; need more support for doubts; course needs better structure
882,6,3,4,1,7,5,4,2,4.0,SYNTHETIC: concepts feel confusing; assignments are manageable; got quick support; slides could be improved
776,8,3,7,6,3,7,6,7,5.875,SYNTHETIC: need clearer explanations; hard to get help when needed; slides are helpful
935,10,9,7,2,8,2,1,2,5.125,SYNTHETIC: teaching is clear and concise; tasks are fair; doubt solving is helpful; course needs better structure; slides are helpful
679,10,6,4,5,10,9,6,7,7.125,SYNTHETIC: doubt solving is helpful; presentations are text-heavy
102,7,4,6,3,5,7,5,5,5.25,SYNTHETIC: need clearer explanations; assignments are manageable
618,5,8,6,9,3,8,7,9,6.875,SYNTHETIC: teaching is clear and concise; assignments are too hard; need more support for doubts
607,8,4,4,10,10,8,3,7,6.75,SYNTHETIC: struggled to follow some topics; tasks felt challenging; got quick support; presentations are text-heavy
743,9,7,7,10,1,5,5,10,6.75,SYNTHETIC: teaching is clear and concise; workload feels heavy; hard to get help when needed; slides are helpful
682,8,5,8,9,2,10,3,4,6.125,SYNTHETIC: workload feels heavy; slow response to queries; presentations add value
16,5,3,6,6,5,8,8,2,5.375,SYNTHETIC: concepts feel confusing
969,8,6,8,10,2,1,3,2,5.0,SYNTHETIC: assignments are too hard; need more support for doubts; course needs better structure; slides are helpful
46,8,4,4,9,5,7,4,8,6.125,SYNTHETIC: need clearer explanations; assignments are too hard; presentations are text-heavy
706,6,8,7,9,8,6,4,1,6.125,SYNTHETIC: explanations are easy to follow; assignments are too hard; mentor support is good; presentations add value
993,9,9,4,1,5,2,9,9,6.0,SYNTHETIC: teaching is clear and concise; workload is reasonable; unclear weekly plan; slides could be improved
508,10,6,5,8,8,5,7,10,7.375,SYNTHETIC: assignments are too hard; doubt solving is helpful
989,8,4,5,4,8,6,7,3,5.625,SYNTHETIC: concepts feel confusing; got quick support
133,10,4,7,3,5,4,4,5,5.25,SYNTHETIC: struggled to follow some topics; assignments are manageable; course needs better structure; slides are helpful
15,8,9,8,3,6,10,2,3,6.125,SYNTHETIC: concepts are clear; assignments are manageable; slides are helpful
78,10,9,6,8,10,7,7,8,8.125,SYNTHETIC: concepts are clear; assignments are too hard; doubt solving is helpful
433,6,6,8,4,8,9,4,1,5.75,SYNTHETIC: got quick support; presentations add value
784,7,7,4,3,7,8,6,10,6.5,SYNTHETIC: teaching is clear and concise; tasks are fair; got quick support; presentations are text-heavy
983,5,2,4,1,9,4,3,2,3.75,SYNTHETIC: struggled to follow some topics; assignments are manageable; mentor support is good; course needs better structure; presentations are text-heavy
197,9,3,5,9,8,2,4,10,6.25,SYNTHETIC: concepts feel confusing; tasks felt challenging; mentor support is good; course needs better structure
483,8,2,6,2,10,2,2,5,4.625,SYNTHETIC: need clearer explanations; workload is reasonable; mentor support is good; course needs better structure
376,5,5,5,8,8,4,6,10,6.375,SYNTHETIC: workload feels heavy; mentor support is good; course needs better structure
915,10,7,4,6,9,4,9,5,6.75,SYNTHETIC: explanations are easy to follow; got quick support; unclear weekly plan; slides could be improved
210,6,5,7,9,5,1,2,4,4.875,SYNTHETIC: assignments are too hard; unclear weekly plan; slides are helpful
20,8,4,5,1,10,10,7,5,6.25,SYNTHETIC: need clearer explanations; assignments are manageable; got quick support
425,5,9,8,1,10,8,10,10,7.625,SYNTHETIC: teaching is clear and concise; assignments are manageable; doubt solving is helpful; slides are helpful
668,6,3,6,1,2,10,9,3,5.0,SYNTHETIC: struggled to follow some topics; workload is reasonable; need more support for doubts
54,7,2,5,1,5,3,1,3,3.375,SYNTHETIC: struggled to follow some topics; workload is reasonable; course needs better structure
950,7,2,7,10,5,3,4,7,5.625,SYNTHETIC: need clearer explanations; tasks felt challenging; unclear weekly plan; slides are helpful
782,6,7,4,2,2,1,3,8,4.125,SYNTHETIC: explanations are easy to follow; tasks are fair; hard to get help when needed; unclear weekly plan; slides could be improved
108,5,5,7,5,10,7,3,9,6.375,SYNTHETIC: doubt solving is helpful; presentations add value
400,9,4,5,5,8,10,6,10,7.125,SYNTHETIC: need clearer explanations; mentor support is good
685,10,9,7,3,1,6,6,4,5.75,SYNTHETIC: concepts are clear; workload is reasonable; need more support for doubts; presentations add value
673,9,3,4,4,7,9,8,4,6.0,SYNTHETIC: need clearer explanations; doubt solving is helpful; presentations are text-heavy
198,6,7,7,7,3,5,4,3,5.25,SYNTHETIC: explanations are easy to follow; tasks felt challenging; slow response to queries; presentations add value
14,5,5,8,9,7,5,2,1,5.25,SYNTHETIC: workload feels heavy; mentor support is good; slides are helpful
172,6,5,8,3,4,3,10,3,5.25,SYNTHETIC: tasks are fair; hard to get help when needed; unclear weekly plan; slides are helpful
359,5,6,7,6,9,5,1,5,5.5,SYNTHETIC: mentor support is good; slides are helpful
714,10,5,5,5,7,5,7,9,6.625,SYNTHETIC: mentor support is good
785,7,6,7,1,7,5,5,9,5.875,SYNTHETIC: assignments are manageable; got quick support; slides are helpful
865,8,4,6,2,7,5,2,7,5.125,SYNTHETIC: struggled to follow some topics; tasks are fair; mentor support is good
662,10,6,4,5,1,9,6,3,5.5,SYNTHETIC: slow response to queries; slides could be improved
513,9,10,7,7,9,2,10,1,6.875,SYNTHETIC: explanations are easy to follow; workload feels heavy; got quick support; unclear weekly plan; slides are helpful
722,7,10,5,5,4,9,6,7,6.625,SYNTHETIC: concepts are clear; hard to get help when needed
8,6,7,6,10,6,9,9,10,7.875,SYNTHETIC: concepts are clear; assignments are too hard
873,10,10,4,5,9,10,2,5,6.875,SYNTHETIC: teaching is clear and concise; mentor support is good; slides could be improved
684,10,3,7,4,4,5,1,10,5.5,SYNTHETIC: concepts feel confusing; need more support for doubts; slides are helpful
73,7,2,5,6,3,1,1,4,3.625,SYNTHETIC: need clearer explanations; hard to get help when needed; unclear weekly plan
900,9,8,5,8,4,6,9,7,7.0,SYNTHETIC: explanations are easy to follow; tasks felt challenging; hard to get help when needed
933,6,9,4,8,7,10,3,5,6.5,SYNTHETIC: teaching is clear and concise; assignments are too hard; got quick support; presentations are text-heavy
634,6,7,6,6,1,6,3,8,5.375,SYNTHETIC: concepts are clear; need more support for doubts
835,8,2,7,8,3,4,3,4,4.875,SYNTHETIC: struggled to follow some topics; assignments are too hard; hard to get help when needed; unclear weekly plan; presentations add value
422,9,8,4,4,8,3,4,10,6.25,SYNTHETIC: teaching is clear and concise; doubt solving is helpful; course needs better structure; slides could be improved
235,6,2,8,8,6,3,3,1,4.625,SYNTHETIC: struggled to follow some topics; assignments are too hard; unclear weekly plan; presentations add value
286,10,3,7,10,8,8,4,9,7.375,SYNTHETIC: need clearer explanations; tasks felt challenging; got quick support; slides are helpful
129,7,3,4,9,1,4,4,9,5.125,SYNTHETIC: struggled to follow some topics; assignments are too hard; need more support for doubts; unclear weekly plan; presentations are text-heavy
443,7,9,8,2,4,5,1,5,5.125,SYNTHETIC: explanations are easy to follow; tasks are fair; hard to get help when needed; presentations add value
301,10,7,7,4,3,4,9,2,5.75,SYNTHETIC: explanations are easy to follow; need more support for doubts; course needs better structure; slides are helpful
532,10,2,4,2,2,6,10,9,5.625,SYNTHETIC: concepts feel confusing; tasks are fair; hard to get help when needed; presentations are text-heavy
64,6,2,8,1,8,4,8,4,5.125,SYNTHETIC: need clearer explanations; tasks are fair; mentor support is good; course needs better structure; presentations add value
860,10,8,4,3,7,1,4,5,5.25,SYNTHETIC: concepts are clear; workload is reasonable; mentor support is good; unclear weekly plan; presentations are text-heavy
559,8,4,4,6,5,5,1,7,5.0,SYNTHETIC: struggled to follow some topics; slides could be improved
311,7,5,6,8,4,9,8,9,7.0,SYNTHETIC: workload feels heavy; slow response to queries
32,9,3,7,7,6,1,9,2,5.5,SYNTHETIC: struggled to follow some topics; assignments are too hard; unclear weekly plan; presentations add value
296,10,7,4,2,2,10,10,8,6.625,SYNTHETIC: concepts are clear; workload is reasonable; need more support for doubts; presentations are text-heavy
419,10,2,5,8,5,3,3,10,5.75,SYNTHETIC: struggled to follow some topics; workload feels heavy; unclear weekly plan
83,10,6,6,1,8,1,3,9,5.5,SYNTHETIC: assignments are manageable; doubt solving is helpful; unclear weekly plan
594,7,2,7,6,7,2,3,6,5.0,SYNTHETIC: struggled to follow some topics; doubt solving is helpful; course needs better structure; presentations add value
501,5,2,8,4,7,6,10,4,5.75,SYNTHETIC: concepts feel confusing; got quick support; presentations add value
411,8,4,4,4,8,4,3,1,4.5,SYNTHETIC: need clearer explanations; got quick support; course needs better structure; slides could be improved
824,10,7,7,9,4,9,9,8,7.875,SYNTHETIC: explanations are easy to follow; tasks felt challenging; need more support for doubts; slides are helpful
585,7,6,8,2,4,7,10,9,6.625,SYNTHETIC: assignments are manageable; slow response to queries; slides are helpful
848,9,9,6,1,9,2,8,6,6.25,SYNTHETIC: teaching is clear and concise; workload is reasonable; mentor support is good; unclear weekly plan
299,10,8,5,5,4,3,1,9,5.625,SYNTHETIC: concepts are clear; need more support for doubts; unclear weekly plan
107,9,4,8,6,10,4,5,9,6.875,SYNTHETIC: concepts feel confusing; got quick support; unclear weekly plan; slides are helpful
119,9,10,5,1,9,6,7,6,6.625,SYNTHETIC: explanations are easy to follow; workload is reasonable; doubt solving is helpful
335,5,3,4,2,8,4,7,6,4.875,SYNTHETIC: need clearer explanations; workload is reasonable; doubt solving is helpful; unclear weekly plan; slides could be improved
557,5,5,8,2,4,10,6,1,5.125,SYNTHETIC: assignments are manageable; need more support for doubts; slides are helpful
113,5,6,7,1,10,6,4,7,5.75,SYNTHETIC: workload is reasonable; doubt solving is helpful; slides are helpful
281,5,6,6,3,4,1,1,1,3.375,SYNTHETIC: workload is reasonable; slow response to queries; course needs better structure
836,9,3,4,6,6,3,2,7,5.0,SYNTHETIC: need clearer explanations; unclear weekly plan; slides could be improved
426,9,8,7,8,10,6,9,8,8.125,SYNTHETIC: explanations are easy to follow; workload feels heavy; got quick support; presentations add value
42,8,2,4,6,6,7,3,1,4.625,SYNTHETIC: struggled to follow some topics; presentations are text-heavy
567,9,3,8,1,4,9,10,9,6.625,SYNTHETIC: need clearer explanations; tasks are fair; need more support for doubts; presentations add value
589,5,8,7,5,6,7,8,9,6.875,SYNTHETIC: teaching is clear and concise; slides are helpful
187,5,5,6,2,6,1,8,5,4.75,SYNTHETIC: tasks are fair; course needs better structure
615,5,6,7,9,1,1,1,5,4.375,SYNTHETIC: workload feels heavy; need more support for doubts; unclear weekly plan; slides are helpful
556,9,9,5,5,1,3,6,10,6.0,SYNTHETIC: teaching is clear and concise; hard to get help when needed; unclear weekly plan
3,9,6,5,9,10,5,5,4,6.625,SYNTHETIC: assignments are too hard; got quick support
667,9,9,6,2,1,3,10,2,5.25,SYNTHETIC: explanations are easy to follow; workload is reasonable; slow response to queries; course needs better structure
234,7,2,4,5,1,8,7,2,4.5,SYNTHETIC: struggled to follow some topics; hard to get help when needed; slides could be improved
96,6,6,5,10,8,10,5,2,6.5,SYNTHETIC: tasks felt challenging; got quick support
691,7,7,8,8,5,4,8,2,6.125,SYNTHETIC: explanations are easy to follow; workload feels heavy; unclear weekly plan; slides are helpful
269,9,10,6,10,10,1,9,10,8.125,SYNTHETIC: teaching is clear and concise; tasks felt challenging; doubt solving is helpful; unclear weekly plan
566,8,10,6,10,7,6,6,1,6.75,SYNTHETIC: explanations are easy to follow; workload feels heavy; mentor support is good
985,5,5,4,8,7,6,7,3,5.625,SYNTHETIC: workload feels heavy; got quick support; presentations are text-heavy
437,7,2,6,7,5,8,1,8,5.5,SYNTHETIC: struggled to follow some topics; assignments are too hard
200,8,4,8,6,8,4,7,1,5.75,SYNTHETIC: concepts feel confusing; doubt solving is helpful; course needs better structure; presentations add value
291,10,3,7,8,2,10,3,3,5.75,SYNTHETIC: struggled to follow some topics; tasks felt challenging; slow response to queries; presentations add value
612,8,9,8,7,1,2,8,4,5.875,SYNTHETIC: concepts are clear; assignments are too hard; hard to get help when needed; course needs better structure; slides are helpful
448,6,7,7,9,2,9,2,5,5.875,SYNTHETIC: teaching is clear and concise; workload feels heavy; slow response to queries; presentations add value
439,6,8,7,7,7,4,5,4,6.0,SYNTHETIC: teaching is clear and concise; workload feels heavy; doubt solving is helpful; unclear weekly plan; presentations add value
573,5,5,5,8,8,9,8,2,6.25,SYNTHETIC: assignments are too hard; mentor support is good
7,5,8,5,6,2,10,4,8,6.0,SYNTHETIC: teaching is clear and concise; slow response to queries
725,5,10,8,4,3,5,1,6,5.25,SYNTHETIC: teaching is clear and concise; hard to get help when needed; slides are helpful
50,9,8,6,7,1,6,7,4,6.0,SYNTHETIC: concepts are clear; workload feels heavy; hard to get help when needed
423,7,9,5,10,10,7,7,3,7.25,SYNTHETIC: teaching is clear and concise; assignments are too hard; mentor support is good
140,7,10,6,8,6,10,9,6,7.75,SYNTHETIC: concepts are clear; workload feels heavy
135,8,9,7,3,6,10,2,9,6.75,SYNTHETIC: concepts are clear; tasks are fair; presentations add value
786,5,4,7,5,5,6,7,1,5.0,SYNTHETIC: concepts feel confusing; presentations add value
601,8,9,4,5,4,3,1,10,5.5,SYNTHETIC: concepts are clear; slow response to queries; unclear weekly plan; presentations are text-heavy
493,9,4,4,9,4,3,6,7,5.75,SYNTHETIC: need clearer explanations; assignments are too hard; hard to get help when needed; unclear weekly plan; slides could be improved
553,7,2,4,7,3,5,1,3,4.0,SYNTHETIC: need clearer explanations; assignments are too hard; slow response to queries; presentations are text-heavy
27,7,3,5,5,5,1,8,6,5.0,SYNTHETIC: need clearer explanations; course needs better structure
257,8,5,6,4,4,1,5,4,4.625,SYNTHETIC: slow response to queries; unclear weekly plan
225,10,4,5,9,3,6,9,4,6.25,SYNTHETIC: need clearer explanations; tasks felt challenging; slow response to queries
788,6,5,6,3,10,4,3,8,5.625,SYNTHETIC: tasks are fair; mentor support is good; unclear weekly plan
37,8,9,5,3,4,3,5,2,4.875,SYNTHETIC: explanations are easy to follow; assignments are manageable; hard to get help when needed; course needs better structure
170,5,10,7,2,8,5,9,5,6.375,SYNTHETIC: explanations are easy to follow; assignments are manageable; mentor support is good; slides are helpful
528,9,2,5,2,6,5,1,6,4.5,SYNTHETIC: struggled to follow some topics; workload is reasonable
600,7,8,6,10,6,7,7,6,7.125,SYNTHETIC: explanations are easy to follow; tasks felt challenging
655,7,8,5,4,1,6,6,8,5.625,SYNTHETIC: explanations are easy to follow; slow response to queries
74,8,8,6,1,2,5,2,6,4.75,SYNTHETIC: explanations are easy to follow; workload is reasonable; hard to get help when needed
505,9,6,8,5,8,4,7,6,6.625,SYNTHETIC: doubt solving is helpful; course needs better structure; presentations add value
377,5,5,7,3,9,6,1,4,5.0,SYNTHETIC: assignments are manageable; doubt solving is helpful; presentations add value
808,8,6,4,5,1,8,8,3,5.375,SYNTHETIC: slow response to queries; presentations are text-heavy
366,9,9,8,2,1,10,5,2,5.75,SYNTHETIC: concepts are clear; tasks are fair; slow response to queries; presentations add value
238,8,7,5,10,10,9,7,10,8.25,SYNTHETIC: teaching is clear and concise; assignments are too hard; got quick support
255,9,10,7,10,3,2,7,8,7.0,SYNTHETIC: teaching is clear and concise; workload feels heavy; need more support for doubts; course needs better structure; slides are helpful
123,10,2,4,5,9,8,3,5,5.75,SYNTHETIC: concepts feel confusing; got quick support; slides could be improved
663,6,2,8,2,5,7,5,7,5.25,SYNTHETIC: concepts feel confusing; assignments are manageable; slides are helpful
876,6,7,4,4,9,2,5,9,5.75,SYNTHETIC: concepts are clear; doubt solving is helpful; course needs better structure; slides could be improved
690,5,10,8,4,2,7,9,6,6.375,SYNTHETIC: teaching is clear and concise; hard to get help when needed; presentations add value
309,5,8,4,9,2,1,4,5,4.75,SYNTHETIC: teaching is clear and concise; workload feels heavy; slow response to queries; unclear weekly plan; presentations are text-heavy
693,7,9,8,1,5,10,3,7,6.25,SYNTHETIC: concepts are clear; workload is reasonable; presentations add value
226,7,6,8,8,8,5,8,8,7.25,SYNTHETIC: workload feels heavy; doubt solving is helpful; slides are helpful
951,10,10,7,10,5,9,7,1,7.375,SYNTHETIC: concepts are clear; tasks felt challenging; presentations add value
260,9,3,7,4,7,2,8,3,5.375,SYNTHETIC: concepts feel confusing; doubt solving is helpful; unclear weekly plan; presentations add value
243,9,8,8,8,4,10,8,9,8.0,SYNTHETIC: concepts are clear; tasks felt challenging; need more support for doubts; slides are helpful
222,5,4,4,2,7,9,5,3,4.875,SYNTHETIC: concepts feel confusing; assignments are manageable; doubt solving is helpful; slides could be improved
314,5,10,6,8,6,6,10,4,6.875,SYNTHETIC: teaching is clear and concise; tasks felt challenging
229,7,6,8,2,2,10,8,8,6.375,SYNTHETIC: workload is reasonable; hard to get help when needed; slides are helpful
85,5,6,8,9,3,4,4,4,5.375,SYNTHETIC: workload feels heavy; slow response to queries; unclear weekly plan; slides are helpful
76,8,9,8,6,3,10,7,2,6.625,SYNTHETIC: teaching is clear and concise; need more support for doubts; presentations add value
887,6,9,5,8,9,7,6,2,6.5,SYNTHETIC: explanations are easy to follow; assignments are too hard; doubt solving is helpful
582,8,4,7,8,1,5,9,3,5.625,SYNTHETIC: struggled to follow some topics; tasks felt challenging; slow response to queries; slides are helpful
674,8,5,6,8,7,10,2,7,6.625,SYNTHETIC: assignments are too hard; mentor support is good
986,7,2,6,2,4,7,10,7,5.625,SYNTHETIC: concepts feel confusing; assignments are manageable; need more support for doubts
511,8,4,4,5,2,10,10,6,6.125,SYNTHETIC: struggled to follow some topics; slow response to queries; presentations are text-heavy
879,6,10,5,10,9,5,5,4,6.75,SYNTHETIC: explanations are easy to follow; assignments are too hard; got quick support
401,8,10,7,2,8,10,8,9,7.75,SYNTHETIC: teaching is clear and concise; tasks are fair; got quick support; presentations add value
514,6,6,7,10,7,7,6,3,6.5,SYNTHETIC: assignments are too hard; got quick support; slides are helpful
750,10,3,8,1,5,1,3,5,4.5,SYNTHETIC: concepts feel confusing; tasks are fair; course needs better structure; presentations add value
156,7,4,7,9,10,8,5,8,7.25,SYNTHETIC: struggled to follow some topics; tasks felt challenging; got quick support; slides are helpful
775,5,6,7,2,5,4,1,4,4.25,SYNTHETIC: workload is reasonable; unclear weekly plan; slides are helpful
329,9,8,8,5,3,3,10,8,6.75,SYNTHETIC: explanations are easy to follow; need more support for doubts; unclear weekly plan; presentations add value
467,8,10,5,7,7,1,3,6,5.875,SYNTHETIC: explanations are easy to follow; workload feels heavy; mentor support is good; unclear weekly plan
178,7,7,4,7,1,2,1,2,3.875,SYNTHETIC: explanations are easy to follow; assignments are too hard; need more support for doubts; course needs better structure; presentations are text-heavy
549,5,3,7,6,8,8,5,5,5.875,SYNTHETIC: concepts feel confusing; got quick support; slides are helpful
